name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR01C01,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C02,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C03,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C04,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C05,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C06,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C07,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C08,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C09,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C10,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C11,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C12,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR01C13,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
KR01C14,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
KR01C15,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
KR01C16,2.30103,0.5,1.30103,3.30103,2.29006,0.5,1.29006,3.29006
KR01C17,2.30103,0.5,1.30103,3.30103,2.29006,0.5,1.29006,3.29006
KR01C18,2.30103,0.5,1.30103,3.30103,2.29634,0.5,1.29634,3.29634
KR01C19,2.30103,0.5,1.30103,3.30103,2.30565,0.5,1.30565,3.30565
KR01C20,2.30103,0.5,1.30103,3.30103,2.30014,0.5,1.30014,3.30014
KR01C21,2.30103,0.5,1.30103,3.30103,2.29756,0.5,1.29756,3.29756
KR01C22,2.30103,0.5,1.30103,3.30103,2.28946,0.5,1.28946,3.28946
KR01C23,2.30103,0.5,1.30103,3.30103,2.30023,0.5,1.30024,3.30023
KR01C24,2.30103,0.5,1.30103,3.30103,2.29502,0.499999,1.29502,3.29502
KR01C25,2.30103,0.5,1.30103,3.30103,2.29155,0.499998,1.29155,3.29155
KR01C26,2.30103,0.5,1.30103,3.30103,2.28501,0.499997,1.28502,3.28501
